company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
Vintage Galerija,,Instagram: @vintage.galerija Vintage Galerija - Brussels Design Market Copyright © 2026 by ThemeREX. All rights reserved. UK UK FR NL,,,,,,
Vintage Haarlem,,20th centuary items.,,,https://vintagehaarlem.nl,,,
Vintage Hoarder,,Website: www.vintagehoarder.com,,,https://vintagehoarder.com,,,
Vintage Vonk,,Your go-to address for second hand furniture & interior decoration.,,,https://vintagevonk.com,,,
Vintage-Galerie,,"At the origin of Vintage-Galerie, lies an enthusiast of flea markets. The delightful excitement of ""searching, looking, and finding"" in the colorful hustle and bustle, the visible and tangible stories behind the discoveries made his heart beat faster. The passion and fascination for design shaped. Today, his once local radius has expanded. The search for unique design interiors, art, and curiosities across Europe continues to make his heart skip a beat. Vintage-Galerie, is present at national and international design fairs and markets.",,,,,,
Vintage.nl,,Website: www.vintage.nl,,,,,,
Vintagexplosion,,"Vintagexplosion is a webshop that focuses on vintage design items from the 1920s to the 1990s. More than 25 years of love for interior design, vinyl and special items.",,,https://vintagexplosion.com,,,
Viva Las Vintage,,"We sell vintage and mid-century design with character, especially selected for your interior. You can contact us for furniture, lighting, decorative items and collectibles.",,,https://vivalasvintage.be,,,
Wallector,,Website: wallector.com,,,https://wallector.com,,,
Whamm!!!,,Instagram: w.h.a.m.m Whamm!!! - Brussels Design Market Copyright © 2026 by ThemeREX. All rights reserved. UK UK FR NL,,,,,,
Wimtage,,Instagram : @wimtage Wimtage - Brussels Design Market Copyright © 2026 by ThemeREX. All rights reserved. UK UK FR NL,,,,,,
Wunderkammer Gent,,"Welcome to Wunderkammer, a vintage shop fueled by a profound passion for rare and unusual design. Here, you'll find a curated selection of unique items, including fascinating pieces that defy conventional classification and boast no particular name. In an exciting turn of events, Wunderkammer is thrilled to announce that soon the doors of the physical shop will open in an unexpected setting —a beautifully transformed church— inviting you to explore our distinctive treasures in a truly remarkable atmosphere. Join us on this journey as we celebrate the extraordinary and the eclectic.",,,https://visit.gent.be,,,
Être moderne,,"Etre Moderne offers a carefully and personal selection of furniture, objects and lighting, available for purchase and hire. We have a particular affinity for functional sculptures​​​​​​​, mostly with a strong geometric and poetic aesthetic. While our main focus is on designs from the 1980s and 1990s,​​​​​​​ we also appreciate other stylistic eras such as Art Deco.",,,https://etremoderne.be,,,
