exhibitor_name,domain,contact_number,mail,location,country,booth_no,desc,linkedin_url,city,profile_url,event_source,event_year,profile_checked
BAUME DE VIE,tiktok.com,570245448,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,Hall 6 A033,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/BAUME-DE-VIE-5,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
BLUEFLORES,natureetdecouvertes.com,,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,Hall 6 C042,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/BLUEFLORES,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
BOHIN,musees-normandie.fr,,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,Hall 6 F059,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/BOHIN-3,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
BUBBLE,le-corbier.com,,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,Hall 6 A055,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/BUBBLE,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
BY MER,tiktok.com,570245448,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/BY-MER-2,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
Calissone,tiktok.com,570245448,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,Hall 6 F040,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/Calissone-2,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
CAMELIR,tiktok.com,570245448,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/CAMELIR-3,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
CANEVAS FATAL,tiktok.com,570245448,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/CANEVAS-FATAL-5,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
Carole Rampinetta,ouest-france.fr,,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,Hall 6 H031,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/Carole-Rampinetta,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
CARÉDEAU PAPIER CADEAU RÉUTILISABLE,tiktok.com,570245448,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,Hall 6 C027,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/CAREDEAU-PAPIER-CADEAU-REUTILISABLE,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
CATHY ET SES OUTILS,tiktok.com,570245448,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,Hall 6 K047,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/CATHY-ET-SES-OUTILS-3,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
CDC/ JUKI - DESEMAC,tiktok.com,570245448,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/CDC-JUKI-DESEMAC,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
