company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
FEMA INDUSTRY,121,"FEMA Industry is a world leading company in the field of polyurethane manipulation machinery, offers different solutions and equipment for shaping and cutting of expanded resins and soft and semi-rigid polyurethane foam.",,,https://fema.gov,"Via Alessandro Fleming, 29, 70024",Gravina in puglia,
Flex Packaging System Co. Ltd,801,"We are the major manufacturer for PSA hot melt pillow shape production lines in the world. More than 140 productions line have been installed all over the world. We have 15 years experiences in design,manufacture,install and service for whole line.",,,https://flexmachinery.com.cn,"No.2,1th street,Dongshengdong Road, 528415",Xiaolan Town,
"Flex2000 - Produtos Flexíveis, SA",500,Over 30 years of experience on the production of polyurethane flexible foam for the industry of comfort and others. The foam produced by Flex2000 is side by side with the people every day all over the world.,,,https://flex2000.pt,"Zona Industrial de Ovar - Fase III - Rua Eng. Ferreira Dias, s/n, 3880-327",Ovar,
Foam Industries,627,"Foam Industries, Egypt’s leader in PU foam for over 50 years, delivers specialty foam grades and premium foam‑and‑spring mattresses. As an ISO‑certified, fully integrated manufacturer, we provide one‑shop bedding and foam solutions for bedding, furniture, and automotive applications, combining innovation, sustainability, and customer‑focused design.",,,https://foam-industries.com,"Badr City, 11829",Cairo,
FRANCEM,436,"FRANCEM designs and manufactures by extrusion rubber extruded profiles, gaskets, seals, elastic pad, cushion pad, sealrings, sealings ,hoses, cords, tubes, soft rubber, foam products, die-cut foams ; absorber cushions ,O-rings, adhesive profiles, seals, die-cut and stamped parts, foam sleeves, spacer rings for acoustics, aesthetics, vibration-damping foam, fluid transport, gap filler.",,,https://francem.fr,"79 AVENUE RENE FIRMIN, 60 410",VERBERIE,
Fraunhofer Institute for Chemical Technology ICT,506,"The Fraunhofer Institute for Chemical Technology ICT focuses on process scalability and on the transfer of research results from laboratory to pilot scale applications. In the core competence ""Polymer Engineering"" of Fraunhofer ICT they successfully conduct application-related research on material technology, foam processing and foam component development and manufacture.",,,https://ict.fraunhofer.de,"Joseph-von-Fraunhofer Straße 7, 76327",Pfinztal,
"Fujian Zhao'an Change New Materials Co.,Ltd",105,,,,,,,
Fujipoly Europe B.V.,1035,"Leading innovators in Thermal Interface Materials, we have been manufacturing advanced silicone rubber products since 1978. With a commitment to quality, and global reach, we strive to meet the evolving needs of diverse industries through cutting-edge technology.",,,https://fujipoly.eu,"Tarasconweg 2, 5627 GB",Eindhoven,
G Technologies Group,306,"G TECHNOLOGIES GROUP specializes in the production of plants for the textile industry. With over 40 years of experience, we use the most advanced technologies, including ultrasonic cutting and welding. Our products include automatic lines for the manufacturing of cushions and quilts and packaging machines for these same products.",,,,"Via Maestri Comacini 12, 22072",Cermenate,
Gallop Innotek (HK) Limited,936,,,,,,,
Gascogne Flexible,1025,"Gascogne Flexible has over 30 years of experience developing and producing release liners designed for the adhesive industries. We offer a complete range of release solutions with single or double-side coatings on glassine, coated paper, PE-coated paper, special papers, and films.",,,https://groupe-gascogne.com,"1 RUE LOUIS BLANC, 40100",DAX,
Georg H. Luh GmbH,736,"Even though we are specialised in graphite and mica, our world is more than just black and white. Our heart beats for mineral raw materials and the many possible applications: Halogen-free flame retardancy, conductivity & lubricants. We are committed to cooperation and collaboration with customers, suppliers and partners as equals.",,,https://luh.de,"Schöne Aussicht 39, 65396",Walluf,
GERGONNE INDUSTRIE,819,"Serving the industrial sector since 1962, GERGONNE INDUSTRIE offers its customers unique expertise in the manufacture and processing of technical adhesive tapes. With an international presence across five production sites, GERGONNE INDUSTRIE delivers its solutions to four strategic markets: industrial, automotive, construction, and medical.",,,https://gergonne.com,"Z.I. Nord - Rue de Tamas - CS 70204, 01117",OYONNAX CEDEX,
Glenro Inc,907,"Glenro designs and manufactures infrared heaters and systems, hot air industrial dryers and ovens, flatbed laminating and material handling equipment and conformal dip coating machines. Glenro offers lab facilities for product development and testing. Since 1958, Glenro has approached industrial heating applications with engineering fundamentals that yield Proven Solutions™.",,,https://glenro.com,"1100 East Third Street, 41056",Maysville,
Graphene@Manchester,940,"The Graphene Engineering Innovation Centre (GEIC) based at The University of Manchester helps companies develop and launch new technologies, products and processes that exploit the remarkable properties of graphene and other 2D materials.",,,,"Graphene Engineering Innovation CentreMasdar BuildingThe University of Manchester, M13 9PL",Manchester,
GRAVIDRY,113,"High confort reticulated foams. We are spanish manufacturers of 100% open-cell foam blocks. We specialize in outdoor comfort products for the upholstery, furniture, marine, and mattress markets. Don't fight the water; let it pass and dry up.",,,,"Carretera Caudete km 1, 03400",Villena,
Guidolin Girotto srl,414,"Guidolin Girotto srl is a certified company specialized in the production of cutting systems ideal to kiss-cut or totally cut any technical flexible material. Our company is based in Italy, but it sells its products all over the world and it is a point of reference for all converters.",,,https://guidolingirotto.com,"Via Orta, 27, 27029",Vigevano,
Hauschild SpeedMixer (Hauschild GmbH & Co KG),1220,"Hauschild SpeedMixer presents its German-manufactured laboratory mixing technology has been on the market since 1974 and which is used for R&D, formulation, and QA/QC purposes as well as small production. The mixing, dispersing, de-airing and vacuum degassing takes place in minutes guaranteeing a fully homogenous composite without any entrapped air.",,,,"Waterkamp 1, 59073",Hamm,
Heger GmbH + Co. KG,511,Vom Familien­betrieb zum Welt­unternehmen. Heute – schon in der dritten Generation in Familienhand – ist Heger eines der weltweit führenden Unternehmen in der Herstellung und dem Vertrieb von Recycling-Systemen für verschäumte Kunststoffe.,,,,"Zaberstraße 26, 71083",Herrenberg,
HIRSCH Erlenbach Sales GmbH,714,"hetech group is a full-service partner for particle foam processing, offering solutions from pre-expansion and molding to cutting, automation, recycling and integrated production concepts. Building on proven expertise in EPS and EPP, we also develop technologies for new materials, multi-material solutions and advanced applications in automotive, aerospace and lightweight construction.",,,,"Etrastraße 1, 74232",Abstatt,
Hirschvogel Holding,837,"The Hirschvogel Group is one of the world’s largest manufacturers of forged and machined steel and aluminum components for the automotive industry. By consistently thinking ahead in products and production technology, we have become a global player whose components are found in almost every car worldwide today.",,,https://hirschvogel.com,"Dr.-Manfred-Hirschvogel-Straße 6, 86920",Denklingen,
HOFFMANN MINERAL GmbH,1000,"HOFFMANN MINERAL produces Neuburg Siliceous Earth, combining silica and kaolinite, available in various colors from yellow to white and different particle size distribution. They also create special fillers with surface additives. In collaboration with 3M, they develop products using hollow glass microspheres, modified with a unique functional group.",,,https://hoffmann-mineral.com,"Muenchener Str. 75, 86633",Neuburg an der Donau,
HTS IC d.o.o.,942,,,,,"Litostrojska Cesta 60, 1000",Ljubljana,
hyPURcel by Rubberlite,531,"hyPURcel® is Rubberlite Inc.'s family of engineered microcellular polyurethane foams for cushioning, sealing, gasketing, vibration management, and energy-return applications. Supported by in-house development, testing, and converting capabilities, hyPURcel delivers high-performance material solutions tailored to customer requirements, serving OEMs with customized materials, application expertise, and responsive technical support.",,,,"2501 Guyan Avenue, 25703",Huntington,
IMESA SRL,325,"Imesa Srl is a 40 year old Italian Company developing cutting and laminating solution to process all kind of adhesives tapes, foam, rubber materials, in roll or sheets. Main Imesa products applications are: adhesive tapes converting, automotive, thermo/acoustic insulation. Imesa offers: Slitters, Log Slitters, Slitting/Guillotining, Laminators, Flatbed laminators and Winders/Unwinders.",,,https://imesasrl.it,"VIALE INDUSTRIA 106, 27025",GAMBOLO',
"Inabata & Co., Ltd.",1137,,,,https://inabata.co.jp,,,
