exhibitor_name,domain,contact_number,mail,location,country,booth_no,desc,linkedin_url,city,event_location,profile_url,event_source
HAUFF TECHNIK,hauff-technik.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 5,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
HITACHI ENERGY POLAND SP. Z O.O.,hitachienergy.com,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 22,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
HOPPECKE BATERIE POLSKA SP. Z O.O.,hoppecke.com,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 75,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
HUBIX SP. Z O.O.,hubix.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 32,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
IFS POLSKA SP. Z O.O.,ifspolska.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 56,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
IMPAKT S.A.,impakt.com.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 132,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
INCOBEX SP. Z O.O.,incobex.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 74,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
INDUCTO SP. Z O.O.,inducto.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 77,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
INSELL SP. Z O.O.,insell.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 27,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
INSTYTUT ENERGETYKI-PAŃSTWOWY INSTYTUT BADAWCZY ODDZIAŁ BIAŁYSTOK,ien.com.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 1,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
